ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,D,Flight,4,2,177,3,low,F,44,1233,1
2,F,Flight,4,5,216,2,low,M,59,3088,1
3,A,Flight,2,2,183,4,low,M,48,3374,1
4,B,Flight,3,3,176,4,medium,M,10,1177,1
5,C,Flight,2,2,184,3,medium,F,46,2484,1
6,F,Flight,3,1,162,3,medium,F,12,1417,1
7,D,Flight,3,4,250,3,low,F,3,2371,1
8,F,Flight,4,1,233,2,low,F,48,2804,1
9,A,Flight,3,4,150,3,low,F,11,1861,1
10,B,Flight,3,2,164,3,medium,F,29,1187,1
11,C,Flight,3,4,189,2,medium,M,12,2888,1
12,F,Flight,4,5,232,3,medium,F,32,3253,1
13,D,Flight,3,5,198,3,medium,F,1,3667,1
14,F,Flight,4,4,275,3,high,M,29,2602,1
15,A,Flight,4,3,152,3,low,M,43,1009,1
16,B,Flight,4,3,227,3,low,F,45,2707,1
17,C,Flight,3,4,143,2,medium,F,6,1194,1
18,F,Ship,5,5,227,3,medium,M,36,3952,1
19,D,Ship,5,5,239,3,high,M,18,2495,1
20,F,Ship,4,5,145,3,medium,M,45,1059,1
21,A,Ship,3,3,161,2,medium,F,38,1521,1
22,B,Ship,3,1,232,4,medium,F,51,2899,1
23,C,Ship,2,5,156,2,low,M,2,1750,1
24,F,Ship,4,3,211,3,high,M,12,3922,1
25,D,Ship,4,5,251,2,medium,F,28,3561,1
26,F,Ship,3,1,225,4,low,M,29,3496,1
27,A,Ship,4,1,172,3,high,F,24,1066,1
28,B,Ship,5,1,162,3,medium,M,31,1435,1
29,C,Ship,2,3,234,4,low,M,44,3134,1
30,F,Ship,5,4,183,2,low,F,36,3819,1
31,D,Ship,3,4,266,2,medium,F,38,2741,1
32,F,Ship,5,3,257,2,low,F,61,3341,1
33,A,Ship,3,1,223,3,low,F,22,3795,1
34,B,Ship,4,2,234,3,medium,M,4,3261,1
35,C,Ship,4,2,227,4,medium,F,22,2460,1
36,F,Ship,5,4,149,3,medium,F,44,1811,1
37,D,Ship,3,5,137,4,high,F,62,1477,1
38,F,Ship,2,4,181,6,medium,F,16,3605,1
39,A,Ship,5,1,215,4,low,F,56,3905,1
40,B,Ship,4,2,269,5,low,F,45,2383,1
41,C,Ship,5,1,227,2,low,M,15,3798,1
42,F,Ship,5,5,139,4,medium,M,61,1265,1
43,D,Ship,3,5,137,2,medium,M,38,1647,1
44,F,Ship,3,1,174,2,low,M,44,1556,1
45,A,Ship,3,1,151,2,low,M,29,1328,1
46,B,Ship,5,1,210,3,low,F,9,2944,1
47,C,Ship,3,4,169,4,medium,F,32,1245,1
48,F,Ship,5,1,160,2,low,M,32,1576,1
49,D,Ship,5,4,190,2,medium,M,9,3753,1
50,F,Ship,5,3,216,3,low,F,40,2146,1
51,A,Ship,4,1,183,3,low,M,37,2042,1
52,B,Ship,4,4,141,3,low,M,22,1735,1
53,C,Ship,4,3,165,3,low,F,44,1320,1
54,F,Ship,2,1,170,3,low,M,41,1128,1
55,D,Ship,4,3,203,3,high,M,12,3539,1
56,F,Ship,2,5,246,5,low,M,46,2437,1
57,A,Ship,3,3,238,3,low,F,61,3096,1
58,B,Ship,3,3,193,3,medium,F,29,3453,1
59,C,Ship,5,5,141,3,high,M,41,1367,1
60,F,Ship,4,1,150,3,high,F,17,1923,1
61,D,Ship,3,1,221,3,low,F,64,2794,1
62,F,Ship,3,3,179,3,medium,M,52,1158,1
63,A,Ship,5,1,105,6,medium,M,62,1292,1
64,B,Ship,3,1,177,3,medium,M,61,1880,1
65,C,Ship,4,5,261,2,high,M,49,3045,1
66,F,Ship,3,2,202,3,low,M,49,2881,1
67,D,Ship,3,2,109,3,medium,F,15,1710,1
68,F,Ship,3,3,158,3,low,F,6,1878,1
69,A,Ship,4,2,231,4,medium,F,6,2512,1
70,B,Ship,3,5,206,3,medium,M,39,2929,1
71,C,Ship,5,1,187,4,high,M,14,3849,1
72,F,Ship,5,5,230,2,low,F,2,2229,1
73,D,Ship,5,5,232,3,medium,F,33,2998,1
74,F,Ship,4,5,215,3,medium,F,21,3984,1
75,A,Ship,6,1,238,6,low,F,13,2442,1
76,B,Ship,4,1,266,3,low,F,23,3775,1
77,C,Ship,2,3,158,2,medium,F,36,1788,1
78,F,Ship,3,3,113,3,low,F,43,1518,1
79,D,Ship,3,4,223,3,low,M,18,3959,1
80,F,Ship,3,5,257,2,medium,F,56,3711,1
81,A,Ship,3,4,180,2,medium,F,49,1942,1
82,B,Ship,2,5,132,3,low,M,18,1759,1
83,C,Ship,4,4,217,3,high,F,26,2875,1
84,F,Ship,5,5,162,3,high,F,31,1364,1
85,D,Ship,4,5,197,2,medium,F,40,2710,1
86,F,Ship,3,4,197,3,medium,M,13,2148,1
87,A,Ship,4,1,185,2,low,M,44,2910,1
88,B,Ship,6,2,278,3,medium,F,3,2974,1
89,C,Ship,3,3,229,3,low,M,49,2339,1
90,F,Ship,4,1,186,4,medium,F,57,3880,1
91,D,Ship,5,3,174,6,high,F,41,1085,1
92,F,Ship,5,5,286,3,low,F,18,3163,1
93,A,Ship,4,4,175,2,medium,F,7,1188,1
94,B,Ship,3,3,219,3,medium,F,17,3387,1
95,C,Ship,4,1,213,4,high,F,35,2343,1
96,F,Ship,2,3,235,3,low,M,57,2034,1
97,D,Ship,3,3,149,2,medium,M,18,1225,1
98,F,Ship,4,1,271,2,medium,F,8,2401,1
99,A,Ship,3,5,144,4,medium,M,5,1104,1
100,B,Ship,4,2,145,2,medium,M,21,1617,1